batsman,total_runs,out,numberofballs,average,strikerate
V Kohli,5426.00,152.00,4111.00,35.69736842,132
SK Raina,5386.00,160.00,3916.00,33.6625,138
RG Sharma,4902.00,161.00,3742.00,30.44720497,131
DA Warner,4717.00,114.00,3292.00,41.37719298,143
S Dhawan,4601.00,137.00,3665.00,33.58394161,126
CH Gayle,4525.00,110.00,2972.00,41.13636364,152
MS Dhoni,4450.00,118.00,3206.00,37.71186441,139
RV Uthappa,4420.00,156.00,3381.00,28.33333333,131
AB de Villiers,4414.00,104.00,2902.00,42.44230769,152
G Gambhir,4219.00,134.00,3400.00,31.48507463,124
AM Rahane,3834.00,117.00,3133.00,32.76923077,122
KD Karthik,3669.00,138.00,2813.00,26.58695652,130
SR Watson,3590.00,115.00,2566.00,31.2173913,140
AT Rayudu,3313.00,114.00,2616.00,29.06140351,127
YK Pathan,3222.00,110.00,2240.00,29.29090909,144
BB McCullum,2886.00,106.00,2185.00,27.22641509,132
PA Patel,2864.00,127.00,2352.00,22.5511811,122
MK Pandey,2855.00,95.00,2352.00,30.05263158,121
KA Pollard,2772.00,102.00,1879.00,27.17647059,148
Yuvraj Singh,2755.00,109.00,2121.00,25.27522936,130
V Sehwag,2728.00,98.00,1746.00,27.83673469,156
M Vijay,2589.00,93.00,2104.00,27.83870968,123
SE Marsh,2489.00,65.00,1866.00,38.29230769,133
JH Kallis,2427.00,89.00,2219.00,27.26966292,109
DR Smith,2385.00,81.00,1758.00,29.44444444,136
SR Tendulkar,2334.00,71.00,1943.00,32.87323944,120
SV Samson,2215.00,79.00,1693.00,28.03797468,131
R Dravid,2174.00,77.00,1877.00,28.23376623,116
AC Gilchrist,2069.00,76.00,1492.00,27.22368421,139
SPD Smith,2038.00,59.00,1570.00,34.54237288,130
JP Duminy,2031.00,49.00,1633.00,41.44897959,124
KL Rahul,1988.00,49.00,1428.00,40.57142857,139
MEK Hussey,1977.00,52.00,1608.00,38.01923077,123
RA Jadeja,1931.00,83.00,1567.00,23.26506024,123
F du Plessis,1861.00,56.00,1459.00,33.23214286,128
DA Miller,1858.00,54.00,1327.00,34.40740741,140
DPMD Jayawardene,1808.00,64.00,1460.00,28.25,124
WP Saha,1767.00,74.00,1340.00,23.87837838,132
RR Pant,1767.00,49.00,1071.00,36.06122449,165
AJ Finch,1741.00,66.00,1332.00,26.37878788,131
MK Tiwary,1696.00,60.00,1446.00,28.26666667,117
SS Iyer,1695.00,57.00,1321.00,29.73684211,128
KC Sangakkara,1687.00,69.00,1387.00,24.44927536,122
NV Ojha,1555.00,74.00,1308.00,21.01351351,119
Mandeep Singh,1535.00,71.00,1227.00,21.61971831,125
DJ Bravo,1494.00,63.00,1155.00,23.71428571,129
Q de Kock,1478.00,46.00,1109.00,32.13043478,133
KK Nair,1465.00,61.00,1137.00,24.01639344,129
S Badrinath,1441.00,48.00,1210.00,30.02083333,119
AD Russell,1415.00,41.00,752.00,34.51219512,188
GJ Maxwell,1401.00,62.00,864.00,22.59677419,162
BJ Hodge,1400.00,46.00,1117.00,30.43478261,125
JC Buttler,1396.00,37.00,919.00,37.72972973,152
SC Ganguly,1349.00,54.00,1261.00,24.98148148,107
DJ Hussey,1322.00,48.00,1069.00,27.54166667,124
KS Williamson,1309.00,34.00,964.00,38.5,136
CA Lynn,1288.00,37.00,909.00,34.81081081,142
SS Tiwary,1276.00,42.00,1064.00,30.38095238,120
MA Agarwal,1269.00,67.00,988.00,18.94029851,128
TM Dilshan,1153.00,41.00,1006.00,28.12195122,115
IK Pathan,1150.00,52.00,948.00,22.11538462,121
ML Hayden,1107.00,27.00,802.00,41,138
N Rana,1093.00,40.00,808.00,27.325,135
KM Jadhav,1087.00,46.00,851.00,23.63043478,128
